Date,,Payee,Amount,Memo,OrigPayee
6/10/2025,,PAYMENT- THANK YOU,1737.77,,PAYMENT- THANK YOU
5/12/2025,5/13/2025,CPA- PAY MACHINE CALGARY AB,-1.50,,CPA- PAY MACHINE CALGARY AB
5/12/2025,5/13/2025,CPA- PAY MACHINE CALGARY AB,-5.00,,CPA- PAY MACHINE CALGARY AB
5/12/2025,5/13/2025,SHELL C81530 CALGARY AB,-88.22,,SHELL C81530 CALGARY AB
5/12/2025,5/13/2025,AHS FMC PARKING LOTS,-5.00,EDMONTON AB,AHS FMC PARKING LOTS
5/12/2025,5/13/2025,SIDE STREET PUB & GRIL CALGARY,-41.68,AB,SIDE STREET PUB & GRIL CALGARY
5/12/2025,5/13/2025,GREAT CANADIAN OIL CHA,-190.02,CALGARY AB,GREAT CANADIAN OIL CHA
5/13/2025,5/13/2025,PICK-N-PULL #20-CALGAR CALGARY,-3.72,AB,PICK-N-PULL #20-CALGAR CALGARY
5/13/2025,5/13/2025,WAL-MART #1097 CALGARY AB,-242.69,,WAL-MART #1097 CALGARY AB
5/13/2025,5/13/2025,TST-LEOPOLDS TAVERN S CALGARY,-50.00,AB,TST-LEOPOLDS TAVERN S CALGARY
5/14/2025,5/14/2025,KEG STEAKHOUSE AND BAR BANFF,-37.54,AB,KEG STEAKHOUSE AND BAR BANFF
5/14/2025,5/14/2025,PETRO-CANADA 85527 CALGARY AB,-13.93,,PETRO-CANADA 85527 CALGARY AB
5/14/2025,5/14/2025,BANFF SUNSHINE FOOD & BANFF,-27.30,AB,BANFF SUNSHINE FOOD & BANFF
5/14/2025,5/14/2025,BANFF EAST GATE BANFF AB,-75.25,,BANFF EAST GATE BANFF AB
5/14/2025,5/14/2025,WWW.AARDVA* AARDVARK P BANFF,-24.68,AB,WWW.AARDVA* AARDVARK P BANFF
5/15/2025,5/15/2025,KEG STEAKHOUSE AND BAR BANFF,-30.03,AB,KEG STEAKHOUSE AND BAR BANFF
5/15/2025,5/15/2025,BANFF SUNSHINE FOOD & BANFF,-61.43,AB,BANFF SUNSHINE FOOD & BANFF
5/15/2025,5/15/2025,BANFF SUNSHINE FOOD & BANFF,-15.02,AB,BANFF SUNSHINE FOOD & BANFF
5/17/2025,5/17/2025,INDIGO 414 ROCKY VIEW AB,-52.47,,INDIGO 414 ROCKY VIEW AB
5/17/2025,5/17/2025,INDIGO 414 ROCKY VIEW AB,-13.55,,INDIGO 414 ROCKY VIEW AB
5/17/2025,5/17/2025,HUGO OUTLET CROSSIRON ROCKY,-139.49,VIEW AB,HUGO OUTLET CROSSIRON ROCKY
5/23/2025,5/23/2025,LONDON DRUGS 24 RED DEER AB,-25.18,,LONDON DRUGS 24 RED DEER AB
5/23/2025,5/23/2025,PETRO-CANADA 29516 MASKWACIS,-51.54,AB,PETRO-CANADA 29516 MASKWACIS
5/23/2025,5/23/2025,ACE LIQUOR 49TH AVE RE RED,-33.69,DEER AB,ACE LIQUOR 49TH AVE RE RED
5/26/2025,5/26/2025,ROB & KATHY'S NF #7031 COLD,-63.69,LAKE AB,ROB & KATHY'S NF #7031 COLD
5/26/2025,5/26/2025,SHOPPERS DRUG MART #23 COLD,-44.09,,SHOPPERS DRUG MART #23 COLD
5/26/2025,5/26/2025,COMMUNITY DRUG MART #2 COLD,-14.11,LAKE AB,COMMUNITY DRUG MART #2 COLD
5/26/2025,5/26/2025,COLD LAKE LIQUORS COLD LAKE,-39.13,AB,COLD LAKE LIQUORS COLD LAKE
5/30/2025,5/30/2025,02'S TAP HOUSE & GRILL COLD LAKE,-63.38,AB,02'S TAP HOUSE & GRILL COLD LAKE
5/30/2025,5/30/2025,THE POUR HOUSE BAR AND COLD,-84.38,LAKE AB,THE POUR HOUSE BAR AND COLD
5/31/2025,5/31/2025,CONTINENTAL CABS INC COLD LAKE,-50.00,,CONTINENTAL CABS INC COLD LAKE
5/31/2025,5/31/2025,CONTINENTAL CABS INC COLD LAKE,-67.50,AB,CONTINENTAL CABS INC COLD LAKE
6/1/2025,6/1/2025,22584 CIRCLE K COLD LAKE AB,-10.88,,22584 CIRCLE K COLD LAKE AB
6/8/2025,6/8/2025,SHOPPERS DRUG MART #23,-88.91,LLOYDMINSTER AB,SHOPPERS DRUG MART #23
