Vendor Name	Account Number	Category
#013 MARK'S CALGARY AB	9970	Unusual item
#072 MARK'SBARRIEON	9970	Unusual item
#248 SPOKTCHEKROCKYVIEW AB	2654	Shareholder loan #3 - CC payments
#248 SPORTCHEKROCKYVIEW AB	9970	Unusual item
#314 SPORTCHEKEDMONTON AB	2654	Shareholder loan #3 - CC payments
#318 SPORT CHEK	9970	Unusual item
#5148 SPORT CHEK 008899 BARRIE	9970	Unusual item
#861 PARTYCWAIRDRIE AB	2654	Shareholder loan #3 - CC payments
(NIP AUTOMOTIVE LTD CALGARY AB	9970	Unusual item
-FEDEX-*81119254 T1800 4633339ON	9970	Unusual item
00115 MACS CONY	9970	Unusual item
001174 BUSMOBILE Transfer	9970	Unusual item
00940 MACS CONV. STO BARRIE	9970	Unusual item
01041 MACS CONV	9970	Unusual item
01233 MACS CONV	9970	Unusual item
01233 MACS CONV. STO INNISFIL	9970	Unusual item
01233 MACS CONY	9970	Unusual item
01382 MACS CONV	9970	Unusual item
01420 MACS CONV	9970	Unusual item
01420 MACS CONV. STOREBARRIEON	9970	Unusual item
01420 MACS CONY	9970	Unusual item
01771 MAC'S CON	9970	Unusual item
05 TEA/THT 138054  RICHMOND  BC  A Restaurants	6415	Client meals and entertainment
05 TEA/THT 138056  RICHMOND  BC  A Restaurants	6415	Client meals and entertainment
050 Marks Calgary Ab	9970	Unusual item
0733 HOLIDAY PH	9970	Unusual item
0810 Napa Online Montreal Qc	8600	Office supplies and postage
09129 Operations Support Ill	8600	Office supplies and postage
0dine Bill Payment, INNPOWER CORP	9970	Unusual item
0ebitcard f'urchase, PIZZA PIZZA # 6	9970	Unusual item
0ebitCard Purchase,SH0PPERS DRUG M	9970	Unusual item
0ebitCard Purchase,THE BEER STORE	9970	Unusual item
0n!ine Bill Payment, BELL ONE BILL	9970	Unusual item
0n!ine Bill Payment, INNPOWER CORP	9970	Unusual item
0n!ine Bill Payment, WSIB SCHEDULE1	9970	Unusual item
0nline Bill Payment, AMEX CREDIT CD	9970	Unusual item
0nline Bill payment, BELL ONE BILL	9970	Unusual item
0nline Bill Payment, BELL ONE BILL	9970	Unusual item
0nline Bill Payment, CAPITAL ONE-MC	9970	Unusual item
0nline Bill Payment, ENBRIDGE	9970	Unusual item
0nline Bill Payment, INNPOWER CORP	9970	Unusual item
0nline Bill Payment, TELUS MOB	9970	Unusual item
0nline Bill Payment, WSIB SCHEDULE1	9970	Unusual item
0ZZIE#S AMUSEMENT5\MNDERMERE BC	2650	Shareholder loan #1 -personal
0ZZIE#S AMUSEMENTSWINDERMERE BC	2650	Shareholder loan #1 -personal
1007 Saje Mount Royal Calgary Ab 45007282	8600	Office supplies and postage
1010702 - ACE L	9970	Unusual item
1010702 - ACE LIQUOR W	9970	Unusual item
1060 Saje Mayfar Shopp VICTORIA	9970	Unusual item
11559192 CANADA	9970	Unusual item
1410PEPVEN8003876683 CALGARY AB	2654	Shareholder loan #3 - CC payments
1410pepven8003876683 Calgary Ab 45006546	6415	Client meals and entertainment
14TH STREET CAR WASH CALGARY	9970	Unusual item
1600 WORLD BIER HAUS R CALGARY AB	9970	Unusual item
1857-TOR TRIP ADVISOR	9970	Unusual item
1857-TOR TRIP ADVISOR MISSISSAUGA	9970	Unusual item
1886 Buffalo Cafe Calgary Ab 45006546	6415	Client meals and entertainment
190219S2395200WIRE	9970	Unusual item
190628S3026500WIRE	9970	Unusual item
1NNISFIL KFFCO	9970	Unusual item
1NTERAC c-Transfer Fee, 1NTERAC E-TRANSFER	9970	Unusual item
1NTERAC c-Transfer Fee, INTERAC E-TRANSFER	9970	Unusual item
1NTERAC c-Transfer Sent	9970	Unusual item
2-4-1 PIZZA INNISFIL INNISFIL	9970	Unusual item
2032256 Alberta Ltd Calgary Ab	6415	Client meals and entertainment
22 JAKARTA	9970	Unusual item
22 TANGERANG	9970	Unusual item
22021 Macs Conv Stores Calgary Ab	9970	Unusual item
22056 MACS COM. STORE CALGARY AB	9970	Unusual item
22114 MACS COM. STORE CALGARY AB	9970	Unusual item
22120 Macs Conv Store Calgary Ab	6415	Client meals and entertainment
22171 MACS CONV. STORE	6415	Client meals and entertainment
22171 MACS CONV. STORE 340635	6415	Client meals and entertainment
22171 MACSCCNV.STOREAIRDRIE AB	9970	Unusual item
22171 MACSCONV. STORE AIRDRIE AB	2654	Shareholder loan #3 - CC payments
22171 macsconv. store ardre ab	9970	Unusual item
22186 MACS CONY	6415	Client meals and entertainment
2599265 ONTARIO INC	9970	Unusual item
2614471 ONTARIO INC 032 VAUGHAN	9970	Unusual item
2CO.COM'MOVAVI.COM 119 AMSTERDAM NL	8600	Office supplies and postage
2CO.COM*MALWAREBYTES 1511AMSTERDAM	9970	Unusual item
30NOV2020, PAY TO CRA PAYER ON	9970	Unusual item
30SEP2020, PAY TO CRA PAYER ON	9970	Unusual item
346A-GARUDA MANAGEMENT BDTANGERANG	9970	Unusual item
355856 ALBERTA LTD EDMONTON AB	6415	Client meals and entertainment
3712-CLGY RELAY	9970	Unusual item
3712-CLGY RELAY D41K02	9970	Unusual item
3716-CLGY RELAY	9970	Unusual item
3716-CLGY RELAY POST I CALGARY AB	9970	Unusual item
3719-CLGY RUNDLEMRKT	9970	Unusual item
3CPAYMENTHILTON LONDON	9200	Travel and accomodations
3CPAYMENTHILTON LONDON S	9200	Travel and accomodations
3rd Party Loan	2690	Current portion of long-term debt
400 CHRYSLER DODGE JEEP INNISFIL	9970	Unusual item
406 LDTOWERLANE AIRDRIE AB	2654	Shareholder loan #3 - CC payments
420 Premium Markets Calgary Ab	6415	Client meals and entertainment
4TH SPOT KITCHEN & BAR CALGARY AB	9970	Unusual item
4th Spot Kitchen & Bar Calgary Ab 45007282	6415	Client meals and entertainment
4th spot kitchen & bar calgary, ab  e	9970	Unusual item
50th Parallel Estates Lake Country Bc 45007282	6415	Client meals and entertainment
52543-ESSO-HWY	9970	Unusual item
52558-ESSO-7018	9970	Unusual item
536 CASH MONEY	9970	Unusual item
5705 FALLS AVENIAGARA FAON	9970	Unusual item
599 CASH MONEY	9970	Unusual item
608 CASH MONEY	9970	Unusual item
61114 MACS CONV	9970	Unusual item
63033 MACS CONV. STO NEWMARKET	9970	Unusual item
63033 MACS CONY	9970	Unusual item
65062 MAC'S CONVENIENCE COLLINGWOOD	9970	Unusual item
65062 MACS CONV	9970	Unusual item
66308 MACS CONV	9970	Unusual item
6928 LET`S BOWL	9970	Unusual item
6WW043571917310	9970	Unusual item
6WW082861201440	9970	Unusual item
6WW180260818470	9970	Unusual item
6WW350991615030	9970	Unusual item
6WW420260830020	9970	Unusual item
7 DAY CONVENIEN	9970	Unusual item
7 Eleven Escalgary Abca	2654	Shareholder loan #3 - CC payments
7 Eleven Stire 37785 Calgary Ab	6415	Client meals and entertainment
7 ELEVEN STORE	9970	Unusual item
7 ELEVEN STORE #14815 CALGARY AB	6415	Client meals and entertainment
7 ELEVEN STORE #25349 CALGARY AB	9970	Unusual item
7 ELEVEN STORE #32847 CALGARY AB	6415	Client meals and entertainment
7 ELEVEN STORE #32891 CALGARY  AB	6415	Client meals and entertainment
7 ELEVEN STORE #33010 CALGARY  AB	6415	Client meals and entertainment
7 ELEVEN STORE #33420 CALGARY  AB	6415	Client meals and entertainment
7 ELEVEN STORE #36960AIRDRIE AB	6415	Client meals and entertainment
7 ELEVEN STORE #37833 RED DEER COUN, AB	9970	Unusual item
7 Eleven Store 14819 Calgary Abca	6415	Client meals and entertainment
7 Eleven Store 1481calgary Abca	6415	Client meals and entertainment
7 Eleven Store 1482calgary Abca	6415	Client meals and entertainment
7 Eleven Store 15482 Calgary Abca	7400	Fuel and oil
7 Eleven Store 1548calgary Abca	6415	Client meals and entertainment
7 Eleven Store 1590calgary Abca	6415	Client meals and entertainment
7 Eleven Store 2091calgary Abca	6415	Client meals and entertainment
7 Eleven Store 2247calgary Abca	6415	Client meals and entertainment
7 Eleven Store 2534calgary Abca	7400	Fuel and oil
7 Eleven Store 25630 Calgary Abca	7400	Fuel and oil
7 Eleven Store 2563calgary Abca	6415	Client meals and entertainment
7 Eleven Store 26509 Calgary Ab	9970	Unusual item
7 Eleven Store 2650calgary Abca	7400	Fuel and oil
7 Eleven Store 29433 Calgary Abca	7400	Fuel and oil
7 Eleven Store 2943calgary Abca	6415	Client meals and entertainment
7 Eleven Store 3284calgary Abca	7400	Fuel and oil
7 Eleven Store 3301calgary Abca	7400	Fuel and oil
7 Eleven Store 3678calgary Abca	6415	Client meals and entertainment
7 Eleven Store 37788 Calgary Abca	7400	Fuel and oil
7 Eleven Store 37789 Calgary Abca	6415	Client meals and entertainment
7 Eleven Store 3778calgary Abca	6415	Client meals and entertainment
7 Eleven Store 37879 Langley Bc	6415	Client meals and entertainment
7 Eleven Store 38558 Calgary Ab	6415	Client meals and entertainment
7 Eleven Store 38558 Calgary Ab	6415	Client meals and entertainment
7 Eleven Store 38965 Calgary Ab	6415	Client meals and entertainment
7 Eleven Store 38966 Calgary Ab	6415	Client meals and entertainment
7 Eleven Store 41107 Edmonton Ab	9970	Unusual item
7-Eleven	9970	Unusual item
7-ELEVEN #26093	6415	Client meals and entertainment
7-ELEVEN STORE	9970	Unusual item
7-ELEVEN STORE #37783 CANMORE AB	6415	Client meals and entertainment
7-ELEVEN STORE #37801 AIRDRIE AB	6415	Client meals and entertainment
7-ELEVEN STORE #37833 RED DEER COUN, AB	9970	Unusual item
7101342 - MILL STREET P MISSISSAUGA	9970	Unusual item
